material_id,material_name,material_type,strength,recyclability,co2_score,supplier_region
0.0,1.0,2,1.0,1.0,1.0,2
0.0,1.0,0,0.0,0.0,0.0,1
0.0,0.0,0,0.0,0.25,0.0,0
0.0,0.0,0,0.0,0.0,0.2,0
0.0,0.0,0,0.0,0.25,0.0,0
0.0,0.0,0,0.0,0.25,0.0,0
0.0,0.0,1,0.0,0.0,0.0,0
0.0,0.0,0,0.0,0.0,0.2,0
0.0,0.0,0,0.0,0.0,0.2,0
0.0,0.0,0,0.0,0.0,0.2,0
0.0,0.0,0,0.0,0.25,0.0,0
0.0,1.0,0,0.0,0.0,0.0,1
0.0,0.0,0,0.0,0.0,0.2,0
1.0,0.0,0,0.0,0.0,0.0,0
0.0,0.0,0,0.0,0.25,0.0,0
0.0,0.0,1,0.0,0.0,0.0,0
0.0,1.0,0,0.0,0.0,0.0,1
1.0,0.0,0,0.0,0.0,0.0,0
1.0,0.0,0,0.0,0.0,0.0,0
0.0,0.0,1,0.0,0.0,0.0,0
0.0,1.0,0,0.0,0.0,0.0,1
0.0,0.0,0,0.0,0.25,0.0,0
0.0,0.0,0,0.3333333333333333,0.0,0.0,0
0.0,1.0,0,0.0,0.0,0.0,1
0.0,0.0,1,0.0,0.0,0.0,0
1.0,0.0,0,0.0,0.0,0.0,0
0.0,0.0,0,0.0,0.25,0.0,0
0.0,1.0,0,0.0,0.0,0.0,1
0.0,0.0,0,0.3333333333333333,0.0,0.0,0
0.0,0.0,0,0.3333333333333333,0.0,0.0,0
0.0,0.0,0,0.0,0.0,0.2,0
0.0,0.0,0,0.0,0.0,0.2,0
0.0,0.0,1,0.0,0.0,0.0,0
0.0,1.0,0,0.0,0.0,0.0,1
0.0,1.0,0,0.0,0.0,0.0,1
1.0,0.0,0,0.0,0.0,0.0,0
1.0,0.0,0,0.0,0.0,0.0,0
1.0,0.0,0,0.0,0.0,0.0,0
0.0,0.0,0,0.0,0.0,0.2,0
0.0,1.0,0,0.0,0.0,0.0,1
0.0,1.0,0,0.0,0.0,0.0,1
0.0,0.0,0,0.3333333333333333,0.0,0.0,0
0.0,0.0,0,0.0,0.0,0.2,0
0.0,0.0,0,0.0,0.25,0.0,0
0.0,0.0,0,0.0,0.0,0.2,0
0.0,0.0,0,0.0,0.25,0.0,0
0.0,0.0,0,0.3333333333333333,0.0,0.0,0
0.0,0.0,1,0.0,0.0,0.0,0
0.0,1.0,0,0.0,0.0,0.0,1
0.0,0.0,0,0.3333333333333333,0.0,0.0,0
0.0,1.0,0,0.0,0.0,0.0,1
1.0,0.0,0,0.0,0.0,0.0,0
0.0,0.0,1,0.0,0.0,0.0,0
0.0,0.0,1,0.0,0.0,0.0,0
0.0,0.0,0,0.3333333333333333,0.0,0.0,0
0.0,0.0,1,0.0,0.0,0.0,0
0.0,0.0,0,0.0,0.25,0.0,0
0.0,0.0,1,0.0,0.0,0.0,0
0.0,1.0,0,0.0,0.0,0.0,1
0.0,1.0,0,0.0,0.0,0.0,1
0.0,1.0,0,0.0,0.0,0.0,1
0.0,1.0,0,0.0,0.0,0.0,1
0.0,0.0,0,0.0,0.25,0.0,0
0.0,0.0,0,0.0,0.0,0.2,0
1.0,0.0,0,0.0,0.0,0.0,0
0.0,0.0,0,0.3333333333333333,0.0,0.0,0
0.0,1.0,0,0.0,0.0,0.0,1
0.0,0.0,1,0.0,0.0,0.0,0
