product_id,material_id,predicted_cost,predicted_co2,suitability_score,sustainability_score,recyclability,cost_norm,co2_norm,suit_norm,sust_norm,final_score,rank
0,MAT_0001,2.24,0.78,5.0,0.88,0.98,0.921134421137485,0.8601190476606788,0.4166666666145834,0.7391304331758034,0.777634322046014,1.0
1,MAT_0002,1.82,0.52,3.0,0.98,1.0,0.9374514374538675,0.9375000000186012,0.16666666664583335,0.9565217370510396,0.7852209382778713,1.0
2,MAT_0003,25.0,3.67,8.666666666666666,0.79,0.87,0.03690753694495308,2.976190405235002e-10,0.874999999890625,0.5434782596880907,0.24042008714946764,1.0
3,MAT_0004,2.43,0.48,2.0,0.87,1.0,0.9137529137562644,0.94940476191982,0.04166666666145833,0.7173913027882797,0.7339602425059271,1.0
4,MAT_0005,1.69,0.41,2.6666666666666665,0.89,1.0,0.9425019425041763,0.9702380952469529,0.124999999984375,0.760869563563327,0.7719327772032417,1.0
5,MAT_0006,12.45,1.01,7.333333333333333,0.81,0.85,0.5244755244939987,0.7916666667286707,0.7083333332447918,0.5869565204631381,0.67437164273494,1.0
6,MAT_0007,25.48,3.43,8.666666666666666,0.83,0.91,0.018259518297658928,0.07142857170493189,0.874999999890625,0.6304347812381851,0.27209276227321394,1.0
7,MAT_0008,25.61,3.64,9.0,0.72,0.96,0.013209013247350021,0.008928571723533119,0.9166666665520835,0.3913043469754252,0.22999790067157747,1.0
8,MAT_0009,25.17,3.59,8.666666666666666,0.76,0.94,0.03030303034070303,0.023809524100056767,0.874999999890625,0.4782608685255198,0.24144080557291062,1.0
9,MAT_0010,2.29,0.42,1.6666666666666667,0.92,0.94,0.9191919191950586,0.9672619047716482,0.0,0.826086954725898,0.7452710331397667,1.0
10,MAT_0011,3.48,0.66,4.666666666666667,0.92,1.0,0.8729603729653085,0.8958333333643353,0.3749999999531251,0.826086954725898,0.7778301406985415,1.0
11,MAT_0012,24.43,3.45,8.333333333333334,0.76,0.87,0.05905205908861488,0.06547619075432254,0.8333333332291669,0.4782608685255198,0.25839884752669884,1.0
12,MAT_0013,0.9,2.03,7.333333333333333,0.56,0.76,0.9731934731945147,0.4880952382475908,0.7083333332447918,0.0434782607750473,0.6332106299838538,1.0
13,MAT_0014,2.34,0.46,3.333333333333333,0.93,1.0,0.9172494172526321,0.9553571428704294,0.20833333330729167,0.8478260851134216,0.7837669574967618,1.0
14,MAT_0015,12.56,1.03,7.666666666666667,0.81,0.87,0.5202020202206603,0.7857142857780612,0.7499999999062502,0.5869565204631381,0.6790419724049864,1.0
15,MAT_0016,3.05,0.77,4.333333333333333,0.9,0.93,0.8896658896701761,0.8630952381359835,0.33333333329166664,0.7826086939508506,0.7570653982088646,1.0
16,MAT_0017,1.07,1.98,7.666666666666667,0.58,0.71,0.9665889665902646,0.5029761906241142,0.7499999999062502,0.08695652155009435,0.6498628183629845,1.0
17,MAT_0018,1.49,1.91,8.0,0.66,0.62,0.9502719502738822,0.5238095239512472,0.7916666665677085,0.26086956465028355,0.6790256844412336,1.0
18,MAT_0019,12.14,0.95,7.666666666666667,0.78,0.86,0.5365190365370427,0.8095238095804989,0.7499999999062502,0.5217391293005671,0.6869391477046191,1.0
19,MAT_0020,3.44,0.79,4.666666666666667,0.88,0.92,0.8745143745192496,0.8571428571853741,0.3749999999531251,0.7391304331758034,0.7541244985381299,1.0
20,MAT_0021,1.76,0.47,2.6666666666666665,1.0,1.0,0.9397824397847793,0.9523809523951248,0.124999999984375,0.999999997826087,0.7878871126729674,1.0
21,MAT_0022,14.36,1.15,8.0,0.85,0.94,0.45027195029330724,0.7500000000744048,0.7916666665677085,0.6739130420132324,0.660806222632619,1.0
22,MAT_0023,3.77,0.76,4.0,0.89,0.9,0.8616938616992349,0.8660714286112883,0.29166666663020835,0.760869563563327,0.7393570196366601,1.0
23,MAT_0024,12.18,1.07,7.333333333333333,0.84,0.88,0.5349650349831017,0.7738095238768424,0.7083333332447918,0.6521739116257087,0.6768973778571967,1.0
