Material ID,Recyclability (%),Recycled Content (%),Reusability (%),Biodegradation Time (days),End-of-Life Disposal (%),Carbon Footprint (kg CO2/unit),CO2 Emission per kg (estimated),Waste Reduction Impact (%),Sustainability Target Progress (%),Load Handling Score,Moisture Resistance Score,Thermal Resistance Score,Cost per Unit (USD),Annual Usage (units),Total Material Weight (tons),Supplier Sustainability Compliance (%),Recyclability_Category_Encoded,Packaging Type_Bubble Wrap (Minimal Use),Packaging Type_Cardboard Boxes,Packaging Type_Foldable & Stackable Containers,Packaging Type_Plastic Totes & Pallets,Packaging Type_Protective Fillers (Paper/Biodegradable),Packaging Type_Steel Racks & Containers,Material Type_Cardboard,Material Type_Paper/Bio-Based,Material Type_Plastic,Material Type_Steel,Supplier Region_AMERICAS,Supplier Region_APAC,Supplier Region_EMEA,Supplier Region_EU,Supplier Region_LATAM,Supplier Region_ROW,Suitable Product Categories_Apparel,Suitable Product Categories_Automotive Parts,Suitable Product Categories_Consumer Goods,Suitable Product Categories_Cosmetics,Suitable Product Categories_E-commerce,Suitable Product Categories_Electronics,Suitable Product Categories_Food & Beverage,Suitable Product Categories_Fragile Items,Suitable Product Categories_Heavy Industrial Components,Suitable Product Categories_Heavy Machinery,Suitable Product Categories_High-Security Goods,Suitable Product Categories_Industrial Components,Suitable Product Categories_Internal Component Protection,Suitable Product Categories_Low-Value Goods,Suitable Product Categories_Medium-Value Goods,Suitable Product Categories_Pharmaceuticals,Suitable Product Categories_Retail Logistics,Suitable Product Categories_Secondary Protection for Non-Fragile Items,CII,CEI,MSS,Final_Recommendation_Score
MAT_0001,0.9555555555555556,0.7945205479452053,0.4742268041237113,0.0008713653795989,0.1249999999999999,0.1398809523809523,0.0875420875420875,0.5692307692307692,0.7391304347826089,0.5555555555555556,0.4444444444444445,0.25,0.0788655788655788,0.963447056075286,0.1303820497271073,0.5945945945945945,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.37862094337395,81.62979564738208,42.5,62.9903870715642
MAT_0002,1.0,0.9863013698630136,0.2886597938144329,0.0001887033306137,0.0,0.0625,0.0134680134680134,0.676923076923077,0.956521739130435,0.2222222222222222,0.2222222222222222,0.125,0.0625485625485625,0.6597773006885658,0.080857085102082,0.6756756756756757,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,67.49433890008159,80.22005519579808,19.305555555555554,56.85541878543872
MAT_0003,0.711111111111111,0.780821917808219,1.0,1.0,0.25,1.0,1.0,0.9384615384615383,0.5434782608695652,0.7777777777777777,0.8888888888888888,0.875,0.9630924630924632,0.0,0.9771578734586618,0.6756756756756757,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.530640641616987,84.58333333333331,32.13419219248509
MAT_0004,1.0,0.9315068493150684,0.2886597938144329,0.0001887033306137,0.0416666666666666,0.050595238095238,0.01010101010101,0.6923076923076923,0.7173913043478262,0.0,0.0,0.25,0.0862470862470862,0.6717354305482941,0.1032949262179098,0.4864864864864866,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,67.97052937627205,78.36199377739706,7.5,52.94680988372794
MAT_0005,1.0,0.9726027397260272,0.2577319587628865,0.0005050589142898,0.0416666666666666,0.0297619047619047,0.01010101010101,0.5692307692307692,0.7608695652173914,0.2222222222222222,0.1111111111111111,0.125,0.0574980574980575,0.6069168047877015,0.0816656559531028,0.4864864864864866,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,68.79437204209512,79.82976662176178,15.416666666666664,56.091678803366584
MAT_0006,0.6666666666666667,0.2328767123287671,0.865979381443299,0.290691930712577,0.4166666666666667,0.2083333333333333,0.3804713804713804,0.8307692307692309,0.5869565217391306,0.7777777777777777,0.7777777777777777,0.5,0.4755244755244756,0.4700156846168393,0.2177077016373559,0.9189189189189192,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,82.94590874528936,67.01213280352152,69.44444444444443,74.11533667250552
MAT_0007,0.7999999999999998,0.7397260273972601,0.9278350515463918,0.8176848321372873,0.25,0.9285714285714288,0.9191919191919192,0.9230769230769232,0.6304347826086958,0.7777777777777777,1.0,0.75,0.981740481740482,0.0976562065474932,0.9846371538306044,0.8378378378378379,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.326597893024228,19.930562328985605,84.72222222222221,34.72647452257203
MAT_0008,0.911111111111111,0.7397260273972601,0.9587628865979382,0.893760024864439,0.2083333333333333,0.9910714285714284,0.9831649831649834,0.9230769230769232,0.3913043478260869,0.7777777777777777,1.0,0.875,0.9867909867909868,0.0757978575480828,0.9676571659591672,0.6756756756756757,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.544342111209696,20.80599341363441,88.47222222222221,34.20120153524087
MAT_0009,0.8666666666666667,0.6164383561643836,0.9072164948453608,0.6386553222664381,0.25,0.9761904761904762,0.915824915824916,0.953846153846154,0.4782608695652175,0.7777777777777777,1.0,0.75,0.96969696969697,0.0827391347875902,0.9717000202142712,0.6486486486486485,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.792721284387811,20.508480805630587,84.72222222222221,36.286299422110964
MAT_0010,0.8666666666666667,0.9452054794520548,0.3195876288659793,0.0,0.0416666666666666,0.0327380952380952,0.0033670033670033,0.6000000000000001,0.8260869565217392,0.0,0.0,0.125,0.0808080808080808,0.6384306484087344,0.0816656559531028,0.4324324324324322,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,68.69047619047619,79.90137885832247,3.75,52.57160413368722
MAT_0011,1.0,0.8493150684931505,0.4845360824742267,0.0009157661632727,0.1666666666666666,0.1041666666666666,0.0875420875420875,0.6307692307692307,0.8260869565217392,0.4444444444444445,0.4444444444444445,0.25,0.127039627039627,0.91158770593012,0.1214877703658783,0.783783783783784,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.80586034843516,79.69410718652684,38.611111111111114,61.81390962866545
MAT_0012,0.711111111111111,0.6712328767123288,0.9690721649484536,0.4200203133585307,0.2083333333333333,0.9345238095238096,0.9932659932659932,0.9384615384615383,0.4782608695652175,0.7777777777777777,0.8888888888888888,0.75,0.9409479409479412,0.0986907238283813,1.0,0.6756756756756757,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.018438218291692,22.334046251572012,80.83333333333333,38.95758916278828
MAT_0013,0.4666666666666665,0.1232876712328767,0.0412371134020618,0.3932244404113732,0.9583333333333331,0.5119047619047619,0.4410774410774412,0.0153846153846153,0.0434782608695654,0.6666666666666665,0.8888888888888888,0.5,0.0268065268065268,0.1959575959153253,0.0038407115423489,0.1351351351351351,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,67.72707631146832,79.36919458144442,69.44444444444443,71.73492223235398
MAT_0014,1.0,0.8767123287671232,0.3092783505154639,0.0006327111673521,0.0416666666666666,0.0446428571428571,0.0168350168350168,0.7076923076923078,0.847826086956522,0.2222222222222222,0.2222222222222222,0.25,0.0827505827505827,0.6688098601733095,0.0814635132403476,0.4594594594594594,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,68.19530437926515,79.60413247556973,23.05555555555555,58.076028161043645
MAT_0015,0.711111111111111,0.273972602739726,0.8144329896907216,0.4052237521992263,0.4583333333333333,0.2142857142857143,0.4377104377104377,0.8153846153846154,0.5869565217391306,0.7777777777777777,0.8888888888888888,0.5,0.4797979797979799,0.4750325372370602,0.227612694562361,0.7567567567567568,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,79.27185886259464,65.47037996704461,73.33333333333333,73.34985753515124
MAT_0016,0.8444444444444446,0.8630136986301369,0.4536082474226804,0.0017982317387901,0.1249999999999999,0.1369047619047619,0.0707070707070706,0.5692307692307692,0.7826086956521741,0.4444444444444445,0.4444444444444445,0.125,0.1103341103341103,0.9724907394017598,0.1528198908429351,0.7567567567567568,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.46986257164582,78.97086270646004,34.86111111111111,59.93753717392967
