0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,MAT_0001,Last-mile delivery and primary e-commerce packaging,98.0,79.0,49.0,188.0,5.0,0.78,0.54,61.0,88.0,6.0,5.0,4.0,2.24,101260.0,790.0,85.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,MAT_0002,Void-fill and cushioning for fragile products,100.0,93.0,31.0,65.0,2.0,0.52,0.32,68.0,98.0,3.0,3.0,3.0,1.82,73961.0,545.0,88.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,MAT_0003,"Secure, high-load international shipping and long-term storage",87.0,78.0,100.0,180208.0,8.0,3.67,3.25,85.0,79.0,8.0,9.0,9.0,25.0,14649.0,4979.0,88.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,MAT_0004,Void-fill and cushioning for fragile products,100.0,89.0,31.0,65.0,3.0,0.48,0.31,69.0,87.0,1.0,1.0,4.0,2.43,75036.0,656.0,81.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,MAT_0005,Void-fill and cushioning for fragile products,100.0,92.0,28.0,122.0,3.0,0.41,0.31,61.0,89.0,3.0,2.0,3.0,1.69,69209.0,549.0,81.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,MAT_0006,Cross-docking and returnable packaging programs,85.0,38.0,87.0,52407.0,12.0,1.01,1.41,78.0,81.0,8.0,8.0,6.0,12.45,56902.0,1222.0,97.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,MAT_0007,"Secure, high-load international shipping and long-term storage",91.0,75.0,93.0,147359.0,8.0,3.43,3.01,84.0,83.0,8.0,10.0,8.0,25.48,23428.0,5016.0,94.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,MAT_0008,"Secure, high-load international shipping and long-term storage",96.0,75.0,96.0,161066.0,7.0,3.64,3.2,84.0,72.0,8.0,10.0,9.0,25.61,21463.0,4932.0,88.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,MAT_0009,"Secure, high-load international shipping and long-term storage",94.0,66.0,91.0,115102.0,8.0,3.59,3.0,86.0,76.0,8.0,10.0,8.0,25.17,22087.0,4952.0,87.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,MAT_0010,Void-fill and cushioning for fragile products,94.0,90.0,34.0,31.0,3.0,0.42,0.29,63.0,92.0,1.0,1.0,3.0,2.29,72042.0,549.0,79.0
