strength_mpa,weight_capacity,co2_emission_score,biodegradability_percent,recyclability_percent,cost_per_kg,x0_Cardboard,x0_Paper/Bio-Based,x0_Plastic,x0_Steel,"x1_E-commerce, Food & Beverage, Consumer Goods, Apparel","x1_Electronics, Medium-Value Goods, Retail Logistics","x1_Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection","x1_Heavy Industrial Components, High-Security Goods","x1_Industrial Components, Heavy Machinery, Automotive Parts","x1_Low-Value Goods, Secondary Protection for Non-Fragile Items"
0.5555555555555556,0.46875,0.08754208754208756,0.16474993445415131,0.9555555555555557,0.3175787303871909,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.2222222222222222,0.1875,0.013468013468013462,0.4768330798641221,1.0,0.2679662654762171,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.7777777777777777,0.875,1.0,0.0,0.711111111111111,0.053538507687685886,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.03125,0.010101010101010097,0.4768330798641221,1.0,0.3062493874004027,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.2222222222222222,0.15625,0.010101010101010097,0.25397002602251234,1.0,0.2260027068658787,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.7777777777777777,0.75,0.38047138047138046,0.0004195727543633661,0.6666666666666667,0.6793528396905891,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.7777777777777777,0.875,0.9191919191919191,3.835376760389625e-05,0.7999999999999998,0.10973630869711773,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.7777777777777777,0.90625,0.9831649831649834,2.044780516973575e-05,0.911111111111111,0.10039060088427093,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.7777777777777777,0.875,0.9158249158249159,9.731962617275612e-05,0.8666666666666667,0.10139760650273111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0033670033670033517,1.0,0.8666666666666667,0.3341287306269206,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.4444444444444445,0.40625,0.08754208754208756,0.15801842474078845,1.0,0.5197244552202271,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.7777777777777777,0.84375,0.9932659932659933,0.0002374799589306544,0.711111111111111,0.10211905561657211,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.6666666666666665,0.71875,0.4410774410774412,0.0002653749904021609,0.46666666666666656,0.1815139749757965,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.2222222222222222,0.21875,0.016835016835016828,0.2136578341267866,1.0,0.35735136368271236,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.7777777777777777,0.78125,0.4377104377104377,0.00025242758780504005,0.711111111111111,0.6633191200129849,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.4444444444444445,0.375,0.07070707070707069,0.08716691497693022,0.8444444444444446,0.38979828189901844,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.7777777777777777,0.78125,0.3737373737373737,0.0002564223489695589,0.3555555555555556,0.10734037061160748,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6666666666666665,0.78125,0.39730639730639733,0.0006372744534386518,0.15555555555555545,0.15255641813101095,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7777777777777777,0.78125,0.4006734006734007,0.00036068470644002253,0.6888888888888889,0.8218075335806206,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.4444444444444445,0.40625,0.08417508417508418,0.14205424811707326,0.8222222222222224,0.38733140410323896,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.2222222222222222,0.15625,0.016835016835016828,0.49991397340827287,1.0,0.1965461079890712,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.7777777777777777,0.8125,0.3636363636363637,0.0006793442739887927,0.8666666666666667,0.751491999540441,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.3333333333333333,0.3125,0.06397306397306396,0.14677265618488372,0.7777777777777777,0.5732241227427258,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.7777777777777777,0.75,0.3602693602693603,0.0018360644184252826,0.7333333333333334,0.9050905395468534,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.6666666666666665,0.78125,0.4478114478114479,0.00040882137884909426,0.1777777777777778,0.24698708066688252,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.2222222222222222,0.15625,0.006734006734006717,0.3826098438083017,1.0,0.3897185541609233,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.5555555555555556,0.40625,0.07070707070707069,0.322800172366176,1.0,0.4930792636515935,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
