CO2 Emission per kg (estimated),Recyclability (%),Recycled Content (%),Reusability (%),Biodegradation Time (days),Load Handling Score,Moisture Resistance Score,Thermal Resistance Score,Cost per Unit (USD),Material Type_Cardboard,Material Type_Paper/Bio-Based,Material Type_Plastic,Material Type_Steel,Packaging Type_Bubble Wrap (Minimal Use),Packaging Type_Cardboard Boxes,Packaging Type_Foldable & Stackable Containers,Packaging Type_Plastic Totes & Pallets,Packaging Type_Protective Fillers (Paper/Biodegradable),Packaging Type_Steel Racks & Containers,Supplier Region_AMERICAS,Supplier Region_APAC,Supplier Region_EMEA,Supplier Region_EU,Supplier Region_LATAM,Supplier Region_ROW
0.0875420875420875,0.9555555555555556,0.7945205479452053,0.4742268041237113,0.0008713653795989,0.5555555555555556,0.4444444444444445,0.25,0.0788655788655788,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0134680134680134,1.0,0.9863013698630136,0.2886597938144329,0.0001887033306137,0.2222222222222222,0.2222222222222222,0.125,0.0625485625485625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.711111111111111,0.780821917808219,1.0,1.0,0.7777777777777777,0.8888888888888888,0.875,0.9630924630924632,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01010101010101,1.0,0.9315068493150684,0.2886597938144329,0.0001887033306137,0.0,0.0,0.25,0.0862470862470862,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.01010101010101,1.0,0.9726027397260272,0.2577319587628865,0.0005050589142898,0.2222222222222222,0.1111111111111111,0.125,0.0574980574980575,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.3804713804713804,0.6666666666666667,0.2328767123287671,0.865979381443299,0.290691930712577,0.7777777777777777,0.7777777777777777,0.5,0.4755244755244756,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.9191919191919192,0.7999999999999998,0.7397260273972601,0.9278350515463918,0.8176848321372873,0.7777777777777777,1.0,0.75,0.981740481740482,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9831649831649834,0.911111111111111,0.7397260273972601,0.9587628865979382,0.893760024864439,0.7777777777777777,1.0,0.875,0.9867909867909868,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.915824915824916,0.8666666666666667,0.6164383561643836,0.9072164948453608,0.6386553222664381,0.7777777777777777,1.0,0.75,0.96969696969697,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0033670033670033,0.8666666666666667,0.9452054794520548,0.3195876288659793,0.0,0.0,0.0,0.125,0.0808080808080808,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0875420875420875,1.0,0.8493150684931505,0.4845360824742267,0.0009157661632727,0.4444444444444445,0.4444444444444445,0.25,0.127039627039627,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.9932659932659932,0.711111111111111,0.6712328767123288,0.9690721649484536,0.4200203133585307,0.7777777777777777,0.8888888888888888,0.75,0.9409479409479412,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.4410774410774412,0.4666666666666665,0.1232876712328767,0.0412371134020618,0.3932244404113732,0.6666666666666665,0.8888888888888888,0.5,0.0268065268065268,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0168350168350168,1.0,0.8767123287671232,0.3092783505154639,0.0006327111673521,0.2222222222222222,0.2222222222222222,0.25,0.0827505827505827,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.4377104377104377,0.711111111111111,0.273972602739726,0.8144329896907216,0.4052237521992263,0.7777777777777777,0.8888888888888888,0.5,0.4797979797979799,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0707070707070706,0.8444444444444446,0.8630136986301369,0.4536082474226804,0.0017982317387901,0.4444444444444445,0.4444444444444445,0.125,0.1103341103341103,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.3737373737373737,0.3555555555555556,0.1232876712328767,0.0618556701030927,0.4014441354889914,0.7777777777777777,0.6666666666666665,0.75,0.0334110334110334,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3973063973063973,0.1555555555555554,0.0821917808219178,0.0927835051546391,0.2124521997813261,0.6666666666666665,0.8888888888888888,0.75,0.0497280497280497,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.4006734006734007,0.6888888888888889,0.273972602739726,0.9381443298969072,0.3228436481903905,0.7777777777777777,0.8888888888888888,0.5,0.4634809634809635,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0841750841750841,0.8222222222222224,0.780821917808219,0.5154639175257731,0.0010378683183758,0.4444444444444445,0.3333333333333333,0.375,0.1254856254856255,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0168350168350168,1.0,0.9999999999999998,0.3195876288659793,0.000172053036736,0.2222222222222222,0.0,0.25,0.0602175602175602,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.3636363636363637,0.8666666666666667,0.4794520547945205,0.8969072164948454,0.2019458643445056,0.7777777777777777,0.8888888888888888,0.625,0.5497280497280498,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0639730639730639,0.7777777777777777,0.7397260273972601,0.422680412371134,0.0009990176326612,0.3333333333333333,0.4444444444444445,0.125,0.1383061383061383,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.3602693602693603,0.7333333333333334,0.1780821917808219,0.8865979381443299,0.0855214594537593,0.7777777777777777,0.6666666666666665,0.625,0.4650349650349651,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.4478114478114479,0.1777777777777778,0.0410958904109589,0.134020618556701,0.2960755257330291,0.6666666666666665,0.8888888888888888,0.75,0.0334110334110334,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0067340067340067,1.0,0.9315068493150684,0.2886597938144329,0.0002775048979614,0.2222222222222222,0.1111111111111111,0.125,0.0982905982905983,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0707070707070706,1.0,0.7945205479452053,0.4845360824742267,0.0003607563673498,0.5555555555555556,0.3333333333333333,0.125,0.1138306138306138,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.4175084175084175,0.8222222222222224,0.3698630136986301,0.9896907216494844,0.2384655089162324,0.8888888888888888,0.6666666666666665,0.625,0.5722610722610724,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.4276094276094276,0.7999999999999998,0.3561643835616437,0.9690721649484536,0.18593383173213,0.7777777777777777,0.6666666666666665,0.625,0.5512820512820513,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.8181818181818182,1.0,0.6575342465753424,0.9587628865979382,0.3521537155130788,0.8888888888888888,0.8888888888888888,1.0,0.9883449883449884,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.9090909090909092,0.9555555555555556,0.6712328767123288,1.0,0.7458443641530274,0.7777777777777777,0.8888888888888888,0.875,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.3703703703703703,0.7777777777777777,0.273972602739726,0.8762886597938144,0.2237466491283571,0.6666666666666665,0.8888888888888888,0.625,0.4510489510489511,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0707070707070706,0.8666666666666667,0.780821917808219,0.4329896907216495,0.0012987229224595,0.5555555555555556,0.2222222222222222,0.125,0.0951825951825952,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
