Unnamed: 0,Recyclability (%),Recycled Content (%),Reusability (%),Biodegradation Time (days),End-of-Life Disposal (%),Carbon Footprint (kg CO2/unit),CO2 Emission per kg (estimated),Waste Reduction Impact (%),Sustainability Target Progress (%),Load Handling Score,Moisture Resistance Score,Thermal Resistance Score,Cost per Unit (USD),Annual Usage (units),Total Material Weight (tons),Supplier Sustainability Compliance (%),Material ID,Packaging Type,Material Type,Suitable Product Categories,Recommended Packaging Use Cases,Supplier Region,Recyclability Category,suitability_score,predicted_score,rank
401,-0.1882200149350311,-0.6652264822047116,0.9515716655517544,1.2321987373779018,0.1730881503468767,0.0043190847086032,0.43351575592553,0.5045462461593098,-0.2221060784616492,1.197432064186977,0.3816928958563403,0.6980516394007099,0.8076006487335308,-0.6502322889120807,-0.1421411941631763,0.624003196847071,1.710619775561652,0.5930381131648669,0.6946906136791137,1.079332229440864,-1.1608812960213812,1.4392804857026436,1.0149634248429074,17.146297390532855,17.146297390532826,1.0
403,0.3949156141581653,0.0,0.0,-9.837610781411595e-17,0.0,0.0,0.0,0.0,0.0,4.2520230887157024e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.727768845993348,0.5930381131648669,0.6946906136791137,1.079332229440864,-1.1608812960213812,0.3069157024039716,1.0149634248429074,16.985447635319243,16.985447635319208,2.0
397,-0.538101392390949,-0.7688948009705657,1.0561200246622662,0.0577358443413259,0.1730881503468767,-0.0492375656780781,0.5169877337745452,1.01160893244909,0.7786128613897819,0.2399615842914376,0.7875563180993618,0.6980516394007099,0.7722667832758849,-0.5941325312723872,-0.1776861043263025,1.3122169032766529,1.6763216346982608,0.5930381131648669,0.6946906136791137,1.079332229440864,-1.1608812960213812,0.3069157024039716,1.0149634248429074,16.936688950119922,16.93668895011989,3.0
399,0.0450342367022474,-0.7170606415876387,1.1258189307359407,0.3136828714777965,0.3533323999329009,-0.0492375656780781,0.4613397485418684,0.7218588259977871,-0.2221060784616492,0.2399615842914376,0.3816928958563403,0.1622139047750223,0.8485879326643999,-0.6806181003451727,-0.1603693532211897,-0.2018532508684273,1.6934707051299565,0.5930381131648669,0.6946906136791137,1.079332229440864,-1.1608812960213812,-1.3916314725440362,1.0149634248429074,16.839385860771078,16.83938586077104,4.0
395,-0.7713556440282276,-0.7170606415876387,0.9167222125149171,-0.056595273538547,0.3533323999329009,-0.009070077888067,0.3222197854601764,0.9391714058362642,-0.1109150851448235,1.197432064186977,0.3816928958563403,0.1622139047750223,0.8726149611755991,-0.5970851500955289,-0.1713062486559977,0.7616459381329873,1.659172564266565,0.5930381131648669,0.6946906136791137,1.079332229440864,-1.1608812960213812,1.4392804857026436,1.0149634248429074,16.824718899250325,16.824718899250293,5.0
393,-0.4214742665723097,-0.6133923228217846,1.021270571625429,0.2339918108363618,0.3533323999329009,-0.0760158908714188,0.5308997300827144,0.8667338792234385,0.6674218680729562,0.2399615842914376,0.7875563180993618,0.6980516394007099,0.8924019258318809,-0.6340489477675189,-0.0601144784021159,1.1745741619907364,1.6420234938348692,0.5930381131648669,0.6946906136791137,1.079332229440864,-1.1608812960213812,-1.3916314725440362,1.0149634248429074,16.71386187872292,16.713861878722884,6.0
391,-0.1882200149350311,-0.6133923228217846,0.9864211185885916,-0.013139713833496,0.1730881503468767,0.0177082473052736,0.5169877337745452,0.9391714058362642,0.1114669014888278,1.197432064186977,0.3816928958563403,0.1622139047750223,0.8118407125884483,-0.5574303580530806,-0.1312042987283682,1.03693142070482,1.6248744234031731,0.5930381131648669,0.6946906136791137,1.079332229440864,-1.1608812960213812,0.3069157024039716,1.0149634248429074,16.666020877416404,16.666020877416376,7.0
389,0.3949156141581653,-0.7170606415876387,1.021270571625429,-0.1663834330920674,0.3533323999329009,-0.0626267282747484,0.363955774384684,0.7218588259977871,-0.2221060784616492,0.7186968242392072,0.3816928958563403,0.6980516394007099,0.7736801378941907,-0.6502322889120807,-0.1448754180218783,-0.2018532508684273,1.6077253529714777,0.5930381131648669,0.6946906136791137,1.079332229440864,-1.1608812960213812,1.4392804857026436,1.0149634248429074,16.563769407002145,16.56376940700211,8.0
387,-0.1882200149350311,-0.6652264822047116,0.9515716655517544,1.2321987373779018,0.1730881503468767,-0.0492375656780781,0.4196037596173608,1.0840464590619157,-0.2221060784616492,0.2399615842914376,0.3816928958563403,0.1622139047750223,0.8076006487335308,-0.6502322889120807,-0.1421411941631763,0.624003196847071,1.5905762825397818,0.5930381131648669,0.6946906136791137,1.079332229440864,-1.1608812960213812,-1.3916314725440362,1.0149634248429074,16.399121053050273,16.39912105305024,9.0
383,-0.538101392390949,-0.7688948009705657,1.0561200246622662,0.0577358443413259,0.1730881503468767,-0.1697400290481109,0.4613397485418684,0.9391714058362642,0.7786128613897819,1.197432064186977,0.3816928958563403,0.1622139047750223,0.7722667832758849,-0.5941325312723872,-0.1776861043263025,1.3122169032766529,1.5562781416763904,0.5930381131648669,0.6946906136791137,1.079332229440864,-1.1608812960213812,1.4392804857026436,1.0149634248429074,16.385834893373595,16.385834893373563,10.0
