material_id,material_type,strength_mpa,weight_capacity_kg,biodegradability_percent,co2_emission_kg_per_kg,recyclability_percent,cost_per_kg,industry_use_case,source_type,confidence_level
0.0,0.8948948948948949,0.12371134020618557,0.008678237650200267,0.0510204081632653,0.05778382053025153,0.9183673469387754,0.09574468085106384,0.4501510574018127,1.0,0.0
0.001001001001001001,0.6306306306306306,0.12371134020618557,0.008678237650200267,0.0510204081632653,0.03602991162474507,0.9693877551020408,0.07801418439716311,0.4501510574018127,1.0,0.0
0.002002002002002002,0.955955955955956,0.020618556701030924,0.0020026702269692926,0.0510204081632653,0.04214819850441877,0.8673469387755102,0.060283687943262415,0.595166163141994,1.0,0.0
0.003003003003003003,0.7587587587587588,0.020618556701030924,0.0020026702269692926,0.0510204081632653,0.022433718558803536,0.9183673469387754,0.04255319148936171,0.595166163141994,1.0,0.0
0.004004004004004004,0.36436436436436437,0.48453608247422675,0.0053404539385847796,0.8163265306122448,0.014276002719238616,0.7142857142857142,0.3617021276595745,0.38368580060422963,1.0,0.0
0.005005005005005005,0.14714714714714713,0.38144329896907214,0.004005340453938584,0.8673469387755102,0.021074099252209384,0.7142857142857142,0.3262411347517731,0.3595166163141994,1.0,0.0
0.006006006006006006,0.17017017017017017,0.5876288659793815,0.008678237650200267,0.01020408163265306,0.18422841604350781,0.5102040816326531,0.21985815602836878,0.4501510574018127,1.0,0.0
0.007007007007007007,0.16916916916916916,0.6391752577319587,0.010680907877169559,0.01020408163265306,0.1910265125764786,0.5612244897959183,0.2375886524822695,0.3867069486404834,1.0,0.0
0.008008008008008008,0.7377377377377378,0.5876288659793815,0.008678237650200267,0.01020408163265306,0.1026512576478586,0.7653061224489796,0.25531914893617025,0.4501510574018127,1.0,0.0
0.009009009009009009,0.8768768768768769,0.09278350515463918,0.003337783711615487,0.9183673469387754,0.007477906186267848,0.8163265306122448,0.11347517730496455,0.3595166163141994,1.0,0.0
0.01001001001001001,0.983983983983984,0.07216494845360824,0.0026702269692923893,0.8673469387755102,0.014276002719238616,0.7653061224489796,0.13120567375886527,0.31722054380664655,1.0,0.0
0.011011011011011011,0.1931931931931932,0.13402061855670103,0.012016021361815754,0.0510204081632653,0.061862678450033994,0.9387755102040816,0.10638297872340426,0.31722054380664655,1.0,0.0
0.012012012012012012,0.20520520520520522,0.17525773195876287,0.004005340453938584,0.9183673469387754,0.021074099252209384,0.7142857142857142,0.29078014184397166,0.3867069486404834,1.0,1.0
0.013013013013013013,0.2772772772772773,0.22680412371134018,0.006675567423230973,0.9693877551020408,0.014276002719238616,0.8673469387755102,0.25531914893617025,0.3867069486404834,1.0,1.0
0.014014014014014014,0.4024024024024024,0.48453608247422675,0.006675567423230973,0.8163265306122448,0.017675050985724,0.7142857142857142,0.37943262411347517,0.3595166163141994,1.0,0.0
0.015015015015015015,0.6036036036036035,0.4329896907216495,0.0053404539385847796,0.8163265306122448,0.014276002719238616,0.7142857142857142,0.3546099290780142,0.38368580060422963,1.0,0.0
